author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intrevention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red
intons-peterson,1989,sex education briefing,rape myth acceptance,0,Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,Yashna,0,lab,-,1,1,3,"3,4",24.03,1,100%,NA,USA,Indiana,60,2,1,The general theme of the sex education film was the desirability of respecting and being considerate of one's sexual partner.,4,1,,0,"1,2,6,9",NA,"1,2,6,9",male,19,NA,NA,rct,FALSE,attitudes,-,3,30,30,30,30,-,-,-,d.i.m,-0.42,1,no.sd,10,NA,-0.42,6.60E-02,0.257,Roni ,statsnotprovided,#ff0000
intons-peterson,1989,rape education briefing,rape myth acceptance,0,Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,Yashna,0,lab,-,1,1,3,"3,4",24.03,1,100%,NA,USA,Indiana,60,2,1,The rape prefilm briefing contained current information about rape drawn from Feild and Beinen's (1980) Rape Knowledge Test and from the Uniform CrimeStatistics. It described common effects on the victims and debunked  some general myths about rape not covered in the debriefing film.,4,1,,0,"1,2,6,9",NA,"1,2,6,9",male,19,NA,NA,rct,FALSE,attitudes,-,3,30,30,30,30,-,-,-,d.i.m,-0.44,1,no.sd,10,NA,-0.44,6.70E-02,0.259,Roni ,statsnotprovided,#ff0000
intons-peterson,1989,sex and rape education,rape myth acceptance,14 days,Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,Roni,0,lab,-,1,1,3,"3,4",24.03,1,100%,NA,USA,Indiana,90,2,1,rape education tape - describing traumatic effects of rape on women. sex educaiton tape - social expetations encourage men to approach sexuality aggressively,4,1,,0,"1,2,6,9",NA,"1,2,6,9",male,19,,,rct,FALSE,attitudes,-,3,30,30,60,60,-,-,-,d.i.d,0.92,1,no.sd,265,,,,,Roni ,"This paper contains two interventions, but the results are reported for both interventions together. ",#ffffff
johnson,1989,sexual inequality salient,perception of victim,0,Effects of Salience of Consciousness-Raising Information on Perceptions of Acquaintance versus Stranger Rape,Matej,0,lab,-,1,1,3,3,20,3,50,NA,USA,North Carolina,160,2,1,Subjects - undergraduate students at UNC-Wilmington - were exposed to speeches that described the historical and contemporary mistreatment of women in American society.,4,1,,0,"1,3,5",1,"1,3,5",both,2,NA,NA,rct,FALSE,attitudes,-,2,80,75,80,75,-,-,-,f.test,25.86,1,-,1188,"What is the probability that the female received any enjoyment from the interaction? (1-highly unprobable, 9-highly probable); and (b) How responsible was the female for the evening’s outcome? ( I -not responsible at all, 9-highly responsible).",,,,Roni ,"JH - d, var.d, and se.d needs updating",#ffffff
gilbert,1991,elaboration likelihood model (1 hour presentation),attitude change,0,Changing the Sexual Agressive Suportive Attitudes of Men: A Psychoeducational Intervention,Paloma,0,lab,-,1,1,3,3,20,1,100%,86.70%,USA,-,75,1,0.5,"ELM Psycho-educational intervention. The intervention involved a one hour presentation by a man and a woman. After that they administered some quesionaires. The presenters then returned and encouraged subjects to participate in a discussion of the presentation. After the discussion, the presenters briefly explained the purposes of the study.",1,1,,0,1,0.5,1,male,-,NA,NA,rct,FALSE,attitudes,-,2,37.5,30.5,37.5,30.5,-,-,-,f.test,5.58,1,9.66,200,sample does not make clear how many psychology courses they used.,,,,Roni ,,#ffffff
gilbert,1991,elaboration likelihood model (1 hour presentation),"""how willing to volunteer time"" (deceived to think it' actual commitment)",30,Changing the Sexual Agressive Suportive Attitudes of Men: A Psychoeducational Intervention,Paloma,0,lab,-,1,1,3,3,20,1,100%,86.70%,USA,-,75,1,0.5,"ELM Psycho-educational intervention. The intervention involved a one hour presentation by a man and a woman. After that they administered some quesionaires. The presenters then returned and encouraged subjects to participate in a discussion of the presentation. After the discussion, the presenters briefly explained the purposes of the study.",1,1,,0,1,0.5,1,male,1,NA,NA,rct,FALSE,behavior,-,2,37.5,23,37.5,30,-,-,-,d.i.m,7.00E-02,1,0.42,200,NA,-0.167,7.50E-02,0.274,Roni ,,#ffffff
nichols,1991,didactic group,rape myth acceptance,0,The Impact of two types of rape education programs on college students' attitudes,jh,0,lab,-,4,1,3,3,20.7,3,0.3846153846,95.8,us,missouri,79.33333333,1,1,"college lecture about incidence of rape and sexual aggression, cultural support for sexually aggressive behavior (myths about sexual violence, historical cultural aspects of rape), the effect of stereotyping",1,1,,0,"2, 9",NA,"2, 9",both,19,NA,NA,rct,FALSE,attitudes,-,3,55.33333333,50,55.33333333,39,-,-,-,d.i.d,-2.1,1,13.59,100-101,NA,,,,Roni ,"JH - d, var.d, and se.d needs updating",#ffffff
nichols,1991,experiential rape education workshop,rape myth acceptance,0,The Impact of two types of rape education programs on college students' attitudes,jh,0,lab,-,4,1,3,3,20.7,3,0.3333333333,95.8,us,missouri,79.33333333,1,1,"structured group format, with brief lectures, a video, handouts, and exercises to illustrate sexual aggression, cultural support for aggressive behaviors, and how rape is a relevant issue for men",2,1,,0,"1, 11",NA,"1, 11",both,19,NA,NA,rct,FALSE,attitudes,-,3,55.33333333,50,55.33333333,30,-,-,-,d.i.d,-2.82,1,13.59,100-101,NA,,,,Roni ,"JH - d, var.d, and se.d needs updating",#ffffff
nichols,1991,didactic group,rape myth acceptance,14,The Impact of two types of rape education programs on college students' attitudes,jh,0,lab,-,4,1,3,3,20.7,3,0.3846153846,95.8,us,missouri,79.33333333,1,1,"college lecture about incidence of rape and sexual aggression, cultural support for sexually aggressive behavior (myths about sexual violence, historical cultural aspects of rape), the effect of stereotyping",1,1,,0,"2, 9",NA,"2, 9",both,19,NA,NA,rct,FALSE,attitudes,-,3,55.33333333,50,55.33333333,39,-,-,-,d.i.d,-3.11,1,13.59,100-101,NA,,,,Roni ,"JH - d, var.d, and se.d needs updating",#ffffff
nichols,1991,experiential rape education workshop,rape myth acceptance,14,The Impact of two types of rape education programs on college students' attitudes,jh,0,lab,-,4,1,3,3,20.7,3,0.3333333333,95.8,us,missouri,79.33333333,1,1,"structured group format, with brief lectures, a video, handouts, and exercises to illustrate sexual aggression, cultural support for aggressive behaviors, and how rape is a relevant issue for men",2,1,,0,"1, 11",NA,"1, 11",both,19,NA,NA,rct,FALSE,attitudes,-,3,55.33333333,50,55.33333333,30,-,-,-,d.i.d,-2.88,1,13.59,100-101,NA,,,,Roni ,"JH - d, var.d, and se.d needs updating",#ffffff
