author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intervention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red,eliminiate,authors department/education in case belongs to center,lead author department/training,alex comments,
fischer,1986,human sexuality course (1983),"""is it rape?""",0,College student attitudes toward forcible date rape: Changes after taking a human sexuality course,jh,1,field,completeing a human sexuality course in college,1,1,3,3,20,3,NA,NA,USA,NA,284,2,0.5,lecture on rape in three classes - legal,2,70,,0,1,NA,1,both,1,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,92,,192,3,1,-,d.i.d,-0.4130,1,0.8000,6,NA,-0.41,0.02,0.24,,,Loading...,,,,,
fischer,1986,human sexuality course (1982),"""is it rape?""",0,College student attitudes toward forcible date rape: Changes after taking a human sexuality course,jh,1,field,completeing a human sexuality course in college,1,1,3,3,20,3,0.4412811388,NA,USA,NA,398,2,0.5,lecture on rape in three classes either confrontational or legal,2,70,,0,"7, 11",NA,"7, 11",both,1,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,43,,114,3,1,-,d.i.d,-0.4300,-1,0.8000,5,NA,-0.52,0.45,0.67,,,Loading...,,,,,
lee,1987,rape prevention education workshop,Attitudes Towards Rape,0,Rape prevention: Experiential Training for men,Paloma,0,field,Rape Prevention Education Project (RPEP),1,2,3,3,NA,1,100%,NA,USA,Missouri,24,4,1,2-hour educational workshop. Part 1 focused on myths and facts on rape. Part 2 consisted on experiential emplathy excercises. Part 3 used guided fantasy to help participants iimagine themselves as the observers of sexual assault situaitons. Part 4 consisted of guided discussion.,2,1,,0,"6,9,4",NA,"6,9,4",male,not given,FALSE,NA,pre-post,FALSE,attitudes,-,2,,24,,24,-,-,-,t.test,5.1500,1,-,2,NA,2.10,0.24,0.49,,"SETH: the eff_type was miscoded here (it's t-test rather than dim) but I love this study, it might not be a landmark in terms of citations but it's way ahead of its time and it presents statistics in a way that we can easily meta-analyze",Loading...,,,,,
borden,1988,seminar,attitudes towards rape,28,Effects of a University Rape Prevention Program on Attitudes and Empathy Toward Rape,jh,1,field,-,1,1,3,3,19.86,3,0.5,NA,USA,midwest,100,1,0.5,45-minute seminar on rape awareness,1,0,,0,"2, 7",NA,"2, 7",both,25,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,50,,50,-,-,-,d.i.d,-2.0400,-1,10.7200,5,NA,-2.04,0.06,0.25,,,Loading...,,,,,
jones,1988,gender studies course,Sexist Attitudes Towards Women Scale,98,Changes in Sexist Attitudes Towards Women During Introductory Women's and Men's Studies Course,Matej,1,field,Introductory Women's and Men's Studies Course,1,1,3,3,19,3,42,62,USA,NA,405,1,NA,College introductory course in Women's and Men's Studies that counts towars curriculum requirement at the University.,1,14,,0,1,0.5,1,both,40,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,120,,405,7,3,n groups,t.test,-7.6100,1,-,614,theoretically there is enough info for DiD but not easily obtained. This n groups are class sections,-5.25,1.51,1.23,,,Loading...,,,,,
intons-peterson,1989,sex education briefing,rape myth acceptance,0,Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,Yashna,0,lab,-,1,1,3,"3,4",24.03,1,100%,NA,USA,Indiana,60,2,1,The general theme of the sex education film was the desirability of respecting and being considerate of one's sexual partner.,4,1,,0,"1,2,6,9",NA,"1,2,6,9",male,19,NA,NA,rct,FALSE,attitudes,-,3,30,30,30,30,-,-,-,d.i.m,-0.4200,1,NA,10,NA,-0.42,0.07,0.26,Roni ,statsnotprovided,Loading...,1,,,,
intons-peterson,1989,rape education briefing,rape myth acceptance,0,Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,Yashna,0,lab,-,1,1,3,"3,4",24.03,1,100%,NA,USA,Indiana,60,2,1,The rape prefilm briefing contained current information about rape drawn from Feild and Beinen's (1980) Rape Knowledge Test and from the Uniform CrimeStatistics. It described common effects on the victims and debunked  some general myths about rape not covered in the debriefing film.,4,1,,0,"1,2,6,9",NA,"1,2,6,9",male,19,NA,NA,rct,FALSE,attitudes,-,3,30,30,30,30,-,-,-,d.i.m,-0.4400,1,NA,10,NA,-0.44,0.07,0.26,Roni ,statsnotprovided,Loading...,1,,,,
intons-peterson,1989,sex and rape education,rape myth acceptance,14,Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,Roni,0,lab,-,1,1,3,"3,4",24.03,1,100%,NA,USA,Indiana,90,2,1,rape education tape - describing traumatic effects of rape on women. sex educaiton tape - social expetations encourage men to approach sexuality aggressively,4,1,,0,"1,2,6,9",NA,"1,2,6,9",male,19,NA,NA,rct,FALSE,attitudes,-,3,30,30,60,60,-,-,-,f.test,15.7200,1,NA,265,"I (Seth) redid this study to use the F test rather than the dim with no ctrl_sd. It's a little hard to parse what the treatment is but, because they emphasize 'briefing' in the intro so much, i took the f-test that compares the unbriefed group to the briefed group with RMA3 (the longest post-test), which is 15.72.",,,,Roni ,"This paper contains two interventions, but the results are reported for both interventions together. ",Loading...,,women's study program,women's study program,,
johnson,1989,sexual inequality salient,perception of victim,0,Effects of Salience of Consciousness-Raising Information on Perceptions of Acquaintance versus Stranger Rape,Matej,0,lab,-,1,1,3,3,20,3,50,NA,USA,North Carolina,160,2,1,Subjects - undergraduate students at UNC-Wilmington - were exposed to speeches that described the historical and contemporary mistreatment of women in American society.,4,1,,0,"1,3,5",1,"1,3,5",both,2,NA,NA,rct,FALSE,attitudes,-,2,80,75,80,75,-,-,-,f.test,25.8600,1,-,1188,"What is the probability that the female received any enjoyment from the interaction? (1-highly unprobable, 9-highly probable); and (b) How responsible was the female for the evening’s outcome? ( I -not responsible at all, 9-highly responsible).",,,,Roni ,"JH - d, var.d, and se.d needs updating",Loading...,,psychology,psychology,,
baylis,1990,safety van program,NA,NA,Combatting Sexual Assault: An Evaluation of a Prevention Program,Arielle,0,field,Safety Van Program,1,2,3,3,22,2,0,NA,Canada,NA,120,1,1,evaulation of the reasoning behind campus bus use,NA,NA,,0,"1,2",NA,"1,2",both,NA,NA,NA,quasi-experimental,NA,NA,females living off campus,2,,NA,,NA,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Loading...,1,,,"agree, groups not comparable",
