paper_title,author,year,intervention_name,scale_name,delay,u_s_d,d,se_d,var_d
College student attitudes toward forcible date rape: Changes after taking a human sexuality course,fischer,1986,human sexuality course (1983),"""is it rape?""",0,-0.413,0.516,0.12649110640673517,0.016
College student attitudes toward forcible date rape: Changes after taking a human sexuality course,fischer,1986,human sexuality course (1982),"""is it rape?""",0,-0.43,-0.537,0.1816590212458495,0.033
Rape prevention: Experiential Training for men,lee,1987,rape prevention education workshop,attitudes towards rape,0,5.15,1.487,0.3209361307176242,0.103
Effects of a University Rape Prevention Program on Attitudes and Empathy Toward Rape,borden,1988,seminar,attitudes towards rape,28,-2.04,-0.19,0.2,0.04
Changes in Sexist Attitudes Towards Women During Introductory Women's and Men's Studies Course,jones,1988,gender studies course,sexist attitudes towards women scale,98,-7.61,0.791,0.10488088481701516,0.011
Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,intons-peterson,1989,sex and rape education,rape myth acceptance,14,15.72,0.887,0.23021728866442676,0.053
Effects of Salience of Consciousness-Raising Information on Perceptions of Acquaintance versus Stranger Rape,johnson,1989,sexual inequality salient,perception of victim,0,25.86,0.83,0.17029386365926402,0.029
A Comparison of Strategies for Changing College Students' Attitudes Towards Acquaintance Rape,nelson,1990,video,forcible date rape scale,7,NA,-0.01,0.260768096208106,0.068
A Comparison of Strategies for Changing College Students' Attitudes Towards Acquaintance Rape,nelson,1990,brouchure,forcible date rape scale,7,NA,-0.01,0.2645751311064591,0.07
Adolescent sexual abuse: an evaluation of perpetrator and victim prevention program,pohl,1990,treatment,rape myth acceptance,7,8.61,0.4,0.13784048752090222,0.019
Changing the Sexual Agressive Suportive Attitudes of Men: A Psychoeducational Intervention,gilbert,1991,elaboration likelihood model (1 hour presentation),attitude change,0,5.58,0.605,0.2588435821108957,0.067
Changing the Sexual Agressive Suportive Attitudes of Men: A Psychoeducational Intervention,gilbert,1991,elaboration likelihood model (1 hour presentation),"""how willing to volunteer time"" (deceived to think it's actual commitment)",30,0.07,0.167,0.27386127875258304,0.075
The Impact of two types of rape education programs on college students' attitudes,nichols,1991,didactic group,rape myth acceptance,0,-2.1,0.155,0.21213203435596426,0.045
The Impact of two types of rape education programs on college students' attitudes,nichols,1991,experiential rape education workshop,rape myth acceptance,0,-2.82,0.208,0.23021728866442676,0.053
The Impact of two types of rape education programs on college students' attitudes,nichols,1991,didactic group,rape myth acceptance,14,-3.11,0.229,0.21213203435596426,0.045
The Impact of two types of rape education programs on college students' attitudes,nichols,1991,experiential rape education workshop,"""how willing to volunteer time"" (deceived to think it's actual commitment)",14,-2.88,0.212,0.23021728866442676,0.053
An intervention designed to modify attitudes toward acquaintance rape in college students,gibson,1991,date rape workshop,ses - victimization,70,-0.0175,0.047,0.18708286933869708,0.035
An intervention designed to modify attitudes toward acquaintance rape in college students,gibson,1991,date rape workshop,ses - victimization,70,-0.0185,0.052,0.15165750888103102,0.023
An intervention designed to modify attitudes toward acquaintance rape in college students,gibson,1991,date rape workshop,ses - perpetration,70,0.015,-0.045,0.25099800796022265,0.063
An intervention designed to modify attitudes toward acquaintance rape in college students,gibson,1991,date rape workshop,ses - perpetration,70,0.0381,-0.163,0.15165750888103102,0.023
An intervention designed to modify attitudes toward acquaintance rape in college students,gibson,1991,date rape workshop,illinois rape myth acceptance scale,70,1.08,0.161,0.15165750888103102,0.023
Date and acquaintance rape: Perceptions and attitude-change strategies,harrison,1991,video + discussion,perceptions of factual information,0,-1.57,0.337,0.2792848008753788,0.078
Date and acquaintance rape: Perceptions and attitude-change strategies,harrison,1991,video,perceptions of factual information,0,-0.874,0.188,0.29154759474226505,0.085
Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,ostrowski,1991,empathy & education,victim factor,0,0.063,-0.072,0.15165750888103102,0.023
Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,ostrowski,1991,empathy,victim factor,0,-0.1801,0.205,0.15491933384829668,0.024
Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,ostrowski,1991,education,victim factor,0,-0.097,-0.11,0.15811388300841897,0.025
Sexual Coercion Attitudes among High School Students: The Influence of Gender and Rape Education,feltey,1991,date rape prevention lecture,blame,42,0.33,0.32,0.10488088481701516,0.011
Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,abrams,1992,information only,rape myth acceptance,0,0,0,0.4722287581247038,0.223
Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,abrams,1992,information only,rape myth acceptance,7,0,0,0.4722287581247038,0.223
Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,abrams,1992,information & video,rape myth acceptance,0,0,0,0.4722287581247038,0.223
Effects of a date rape intervention on rape proclivity and acceptance of rape-supportive attitudes among male college students: a social learning approach.,abrams,1992,information & video,rape myth acceptance,7,0,0,0.4722287581247038,0.223
An investigation of the impact of educational programs on attitudes toward rape held by female undergraduate students,hoehn,1992,feminist,general attitudes toward rape,0,-0.85,0.104,0.24899799195977465,0.062
An investigation of the impact of educational programs on attitudes toward rape held by female undergraduate students,hoehn,1992,traditional,general attitudes toward rape,0,-4.37,0.537,0.25099800796022265,0.063
Gender Differences in Rape Supportive Attitudes Before and After a Date Rape Education Intervention,lenihan,1992,date rape presentation,rape myth acceptance,30,116.87,0.755,0.07071067811865475,0.005
An Evaluation of a Mixed-Gender Date Rape Prevention Workshop,holcomb,1993,mixed-gender date-rape workshop,date rape attiudes survey,0,16.36,1.048,0.47853944456021597,0.229
The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,jodine,1993,video,general attitudes toward rape,36,-0.61,0.084,0.232379000772445,0.054
The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,jodine,1993,video,general attitudes toward rape,70,0,0,0.232379000772445,0.054
The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,jodine,1993,role play,general attitudes toward rape,36,-2.57,0.352,0.24083189157584592,0.058
The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,jodine,1993,role play,general attitudes toward rape,70,1.19,-0.163,0.23874672772626646,0.057
The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,jodine,1993,lecture,general attitudes toward rape,36,-1.9,0.26,0.25099800796022265,0.063
The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,jodine,1993,lecture,general attitudes toward rape,70,-0.85,0.117,0.25099800796022265,0.063
"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",nagler,1993,date rape workshop,rape myth acceptance,21,-1.13,-0.119,0.17606816861659008,0.031
"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",nagler,1993,date rape workshop,ses - perpetration,21,-0.0258,0.057,0.24289915602982237,0.059
"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",nagler,1993,date rape workshop,ses - victimization,21,0.0497,-0.1,0.2664582518894845,0.071
Effects of a Human Sexuality Course on Attitudes Toward Rape and Violence,dallager,1993,human sexuality course,rape myth acceptance,0,7.17,0.473,0.17888543819998318,0.032
Evaluation of a Sexual Assault Prevention Program,hanson,1993,sexual assault prevention program,ses victimization,7,0.0853,0.13,0.10954451150103323,0.012
Evaluation of a Sexual Assault Prevention Program,hanson,1993,sexual assault prevention program,sexual assault awareness survey,7,5.38,0.25,0.10954451150103323,0.012
The effects of a structured-group Rape Prevention Program on selected male personality correlates of abuse toward women,kline,1993,workshop,attitudes towards rape victims,0,-2.338,0.21,0.1816590212458495,0.033
We're talking but are they listening? The retention of information from sexual assault programming for college students,schwartz,1993,program,attitudes towards rape,49,1.55,0.296,0.10954451150103323,0.012
The effects of educational programs about rape on the attitudes of first year urban university students,wolford,1993,videotape,general attitudes toward rape,42,-0.6018,0.066,0.232379000772445,0.054
The effects of educational programs about rape on the attitudes of first year urban university students,wolford,1993,videotape,general attitudes toward rape,105,0.003,-0,0.232379000772445,0.054
The effects of educational programs about rape on the attitudes of first year urban university students,wolford,1993,role play,general attitudes toward rape,98,1.2989,-0.144,0.23874672772626646,0.057
The effects of educational programs about rape on the attitudes of first year urban university students,wolford,1993,role play,general attitudes toward rape,35,-2.565,0.283,0.24083189157584592,0.058
The effects of educational programs about rape on the attitudes of first year urban university students,wolford,1993,lecture,general attitudes toward rape,41,-1.896,0.21,0.25099800796022265,0.063
The effects of educational programs about rape on the attitudes of first year urban university students,wolford,1993,lecture,general attitudes toward rape,111,-0.842,0.093,0.25099800796022265,0.063
An exploration of the effectiveness of an acquaintance rape prevention program designed for male intercollegiate athletes,berger,1993,acquiantance rape prevention program,rape supportive attitudes scale,0,-7.26,0.675,0.18973665961010275,0.036
An exploration of the effectiveness of an acquaintance rape prevention program designed for male intercollegiate athletes,berger,1993,acquiantance rape prevention program,rape supportive attitudes scale,122,-5.468,0.506,0.15491933384829668,0.024
An exploration of the effectiveness of an acquaintance rape prevention program designed for male intercollegiate athletes,berger,1993,acquiantance rape prevention program,aggressive sexual behavior inventory (perpetration),0,-0.881,0.139,0.18708286933869708,0.035
An exploration of the effectiveness of an acquaintance rape prevention program designed for male intercollegiate athletes,berger,1993,acquiantance rape prevention program,aggressive sexual behavior inventory (perpetration),122,2.263,-0.357,0.15491933384829668,0.024
Evaluation of a Coeducational Interactive Rape Prevention Program,frazier,1994,2-hour interactive improv theater,atttitudes towards sexual behaviors,0,-0.212,-0.451,0.19493588689617927,0.038
Evaluation of a Coeducational Interactive Rape Prevention Program,frazier,1994,2-hour interactive improv theater,atttitudes towards sexual behaviors,30,0.17,0.362,0.21447610589527216,0.046
Rape Supportive Attitudes Among Greek Students Before and After a Date Rape Prevention Program,lenihan,1994,date rape presentation,rape myth acceptance,42,-0.5263,-0.087,0.06324555320336758,0.004
"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",heppner b,1995,didactic-video intervention,rape myth acceptance,0,-2.2325,0.247,0.15165750888103102,0.023
"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",heppner b,1995,interactional drama,rape myth acceptance,0,-1.11,0.123,0.15165750888103102,0.023
"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",heppner b,1995,interactional drama,rape myth acceptance,152,0.8858,-0.098,0.2,0.04
"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",heppner b,1995,didactic-video intervention,rape myth acceptance,152,-2.801,0.31,0.21213203435596426,0.045
Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,lanier,1995,scruples (+ role play),attitudes towards rape,0,0.0816,0.195,0.09486832980505137,0.009
Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,lanier,1995,scruples (+ role play),behavior,0,-0.0102,-0.023,0.09486832980505137,0.009
Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,lanier,1995,scruples (+ role play),attitudes towards rape,61,-0.0672,0.175,0.16431676725154984,0.027
Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,lanier,1995,scruples (+ role play),behavior,61,-0.2573,0.572,0.1673320053068151,0.028
Evaluation of Workshops to Counter Sexual Harassment,cohen,1995,attitudinal change,responses to observing sexual harassment questionnaire - externally focused,70,-0.33,-0.446,0.2073644135332772,0.043
Evaluation of Workshops to Counter Sexual Harassment,cohen,1995,empowerment group,responses to observing sexual harassment questionnaire - externally focused,70,-0.43,-0.581,0.20976176963403032,0.044
Changing the Rape-Supportive Attitudes of Traditional and Nontraditional Male and Female College Students,rosenthal,1995,elaboration likelihood model (1 hour presentation),rape myth acceptance,0,2.1,0.184,0.12649110640673517,0.016
Changing the Rape-Supportive Attitudes of Traditional and Nontraditional Male and Female College Students,rosenthal,1995,elaboration likelihood model (1 hour presentation),amount of time volunteered,0,-0.3,0.25,0.12649110640673517,0.016
Examining Sex Differences in Altering Attitudes About Rape: A Test of the Elaboration Likelihood Model,heppner a,1995,1-hour rape prevention intervention,rape myth acceptance,0,6.08,0.488,0.08944271909999159,0.008
Examining Sex Differences in Altering Attitudes About Rape: A Test of the Elaboration Likelihood Model,heppner a,1995,1-hour rape prevention intervention,rape myth acceptance,61,0.578,0.046,0.08944271909999159,0.008
The Effects of Educational Intervention on Perceptions of Sexual Harassment,bonate,1996,video,harassment sensitivity inventory,0,10.4,0.454,0.25298221281347033,0.064
The Effects of Educational Intervention on Perceptions of Sexual Harassment,bonate,1996,literature,harassment sensitivity inventory,0,21.2,0.926,0.26267851073127396,0.069
Familiarity with Sexual Assault and its Relationship to the Effectiveness of Acquaintance Rape Prevention Programs,forst,1996,theatre,rape myth acceptance,14,-2.514,0.228,0.32710854467592254,0.107
Familiarity with Sexual Assault and its Relationship to the Effectiveness of Acquaintance Rape Prevention Programs,forst,1996,didactic-lecture,rape myth acceptance,14,-4.342,0.393,0.3346640106136302,0.112
Familiarity with Sexual Assault and its Relationship to the Effectiveness of Acquaintance Rape Prevention Programs,forst,1996,theatre,rape myth acceptance,0,3.259,0.295,0.3286335345030997,0.108
Familiarity with Sexual Assault and its Relationship to the Effectiveness of Acquaintance Rape Prevention Programs,forst,1996,didactic-lecture,rape myth acceptance,0,8.168,0.739,0.3420526275297414,0.117
Rape Prevention with High-Risk Males: Short-Term Outcome of Two Interventions,schewe,1996,victim empathy/outcome expectancies,rape myth acceptance,0,3.62,0.291,0.27386127875258304,0.075
Rape Prevention with High-Risk Males: Short-Term Outcome of Two Interventions,schewe,1996,rape supportive cognitions,rape myth acceptance,0,9.36,0.753,0.2949576240750525,0.087
Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,earle,1996,coed facilitated by professional with lecture,attitude towards rape,0,0.683,0.13,0.18973665961010275,0.036
