author,year,coder,intervention name,title,publication type,origin,program name,number of participant,mean age,participant sex,% of male,stage in life,setting,% dominant racial or ethnic group,country,state,lab or field,type of control,intrevention description,brief description of the intervention,delivery of treatment,intervention length,additional contact,states purpose of the intervention,_file,stated purpose of the intervention,number of participants,intervention description,states purpose of the intervention...26,stated_purpose
Hand,1988,Arielle,treatment center 1,Evaluation of the Effectiveness of an Educational Presentation in Increasing Chemically Dependent Males' Report of Sexual Abuse,4,2,NA,22,33,1,100,4,7,NA,USA,Michigan,0,1,1,one-hour oral presentation on male sexual abuse,1,1,0,"3,11",5,NA,NA,NA,NA,"3,11"
Hand,1988,Arielle,treatment center 2,Evaluation of the Effectiveness of an Educational Presentation in Increasing Chemically Dependent Males' Report of Sexual Abuse,4,2,NA,21,33,1,100,4,7,NA,USA,Michigan,0,1,1,one-hour oral presentation on male sexual abuse,1,1,0,"3,11",5,NA,NA,NA,NA,"3,11"
Hand,1988,Arielle,treatment center 3,Evaluation of the Effectiveness of an Educational Presentation in Increasing Chemically Dependent Males' Report of Sexual Abuse,4,2,NA,26,33,1,100,4,7,NA,USA,Michigan,0,1,1,one-hour oral presentation on male sexual abuse,1,1,0,"3,11",5,NA,NA,NA,NA,"3,11"
Jones,1988,Matej,Enrollment in Introductory Women's and Men's Studies Course,Changes in Sexist Attitudes Towards Women During Introductory Women's and Men's Studies Course,1,1,Introductory Women's and Men's Studies Course,NA,19,3,42,3,3,62,"USA
",NA,1,1,NA,College introductory course in Women's and Men's Studies that counts towars curriculum requirement at the University.,1,14,0,NA,3,1,405,0.5,NA,1
Tice,1988,Arielle,trained by a designated independent resource in a school setting,A comparison of disseminators: Providing sexual abuse prevention materials to children,4,2,NA,103,NA,5,54,1,1,NA,USA,Florida,0,2,1,"watched ""No More Secrets"" and received ""Safety Rules"" presentation","1,4",14,0,11,5,NA,NA,NA,NA,11
Tice,1988,Arielle,trained by parents,A comparison of disseminators: Providing sexual abuse prevention materials to children,4,2,NA,105,NA,5,54,1,1,NA,USA,Florida,0,2,1,"watched ""No More Secrets"" and discussion with parents about sexual abuse","2,4",14,0,11,5,NA,NA,NA,NA,11
Crowley,1989,Matej,GT/BT workshop,"Evaluation of Good Touches/Bad Touches: A Program
I To Prevent Child Sexual Abuse In School Age Children",4,2,Good Touches/Bad Touches (GT/BT),NA,NA,5,44.7,1,1,NA,USA,NY,0,1,NA,"To insure developmental appropriateness, the GT/BT
child sexual abuse prevention curriculum differs in
format depending upon the specific grade level of the
students being taught. At the fourth and fifth grade
level, the GT/BT curriculum requires two 45 minute
sessions. In session one, the presenter discusses a
number of concepts with the students and engages the
students in structured activities, including active
participation and rehearsal. Session two begins with a
review of the material taught in session one and is followed by a 15 minute film entitled ""No More Secrets"".
The film was chosen by the authors of the GT/BT program
for inclusion because it is age appropriate and it
presents in an acceptable way several of the concepts
taught in the program. Following the film, the remainder
of the 45 minute session is devoted to a postfilm
discussion period, and finally, a brief review of all
of the concepts taught in the program.","2,4",1,0,NA,3,"2,3,7",293,1,NA,"2,3,7"
Intons-Peterson,1989,Yashna,Sex education film,Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,1,1,Education through sex education film,60,24.03,1,100%,"3,4",5,NA,USA,Indiana,0,1,1,The general theme of the sex education film was the desirability of respecting and being considerate of one's sexual partner.,4,2,0,NA,2,"1,2,6,9",NA,NA,NA,"1,2,6,9"
Intons-Peterson,1989,Yashna,Rape briefing film,Will Educational Materials Reduce Negative Effects of Exposure to Sexual Violence?,1,1,Education through rape briefing film,60,24.03,1,100%,"3,4",5,NA,USA,Indiana,0,1,1,The rape prefilm briefing contained current information about rape drawn from Feild and Beinen's (1980) Rape Knowledge Test and from the Uniform CrimeStatistics. It described common effects on the victims and debunked  some general myths about rape not covered in the debriefing film.,4,2,0,NA,2,"1,2,6,9",NA,NA,NA,"1,2,6,9"
Johnson,1989,Matej,Sexual Inequality Salient,Effects of Salience of Consciousness-Raising Information on Perceptions of Acquaintance versus Stranger Rape,1,1,NA,NA,NA,3,50,3,3,NA,USA,North Carolina,0,2,NA,Subjects - undergraduate students at UNC-Wilmington - were exposed to speeches that described the historical and contemporary mistreatment of women in American society.,4,NA,0,NA,3,"1,3,5",160,1,NA,"1,3,5"
Baylis,1990,Arielle,NA,Combatting Sexual Assault: An Evaluation of a Prevention Program,1,2,Safety Van Program,120,22,2,0,3,3,NA,NA,NA,0,1,1,evaulation of the reasoning behind campus bus use,NA,NA,0,"1,2",5,NA,NA,NA,NA,"1,2"
Gray,1990,Arielle,personalized prevention program,The Effectiveness of Personalizing Acquaintance Rape Prevention: Programs on Perception of Vulnerability and on Reducing Risk-Taking Behavior,1,2,Acquiantance Rape Prevention Program,70,NA,2,0,3,3,74,USA,NA,0,3,0.5,participants were exposed to a program that used national or locacl examples and statistics on rape and risk-taking behaviors,"1,2,5",1,0,"5,11",5,NA,NA,NA,NA,"5,11"
Kleinke,1990,Arielle,NA,Evalution of Rape Victim by Men and Women with High and Low Belief in a Just World,1,2,NA,165,25.8,5,39.39393939,3,3,NA,NA,NA,0,NA,0.5,"after watching interview of a female rape victim, participants rated the rapist and the victim",4,1,0,"1,6",5,NA,NA,NA,NA,"1,6"
Martin,1990,Arielle,low blame rape,Men's ambivalence toward women: Implications for evaluations of rape victims,4,2,NA,64,20.5,1,100,3,3,65.8,USA,New York,0,NA,1,participants rated the culpability of and their empathy toward the perpetrator (male) and the victim (female) after reading a scenario,6,1,0,"1,6,10",5,NA,NA,NA,NA,"1,6,10"
Martin,1990,Arielle,high blame rape,Men's ambivalence toward women: Implications for evaluations of rape victims,4,2,NA,64,20.5,1,100,3,3,65.8,USA,New York,0,NA,1,participants rated the culpability of and their empathy toward the perpetrator (male) and the victim (female) after reading a scenario,6,1,0,"1,6,10",5,NA,NA,NA,NA,"1,6,10"
Martin,1990,Arielle,low blame robbery,Men's ambivalence toward women: Implications for evaluations of rape victims,4,2,NA,64,20.5,1,100,3,3,65.8,USA,New York,0,NA,1,participants rated the culpability of and their empathy toward the perpetrator (male) and the victim (female) after reading a scenario,6,1,0,"1,6,10",5,NA,NA,NA,NA,"1,6,10"
Martin,1990,Arielle,high blame robbery,Men's ambivalence toward women: Implications for evaluations of rape victims,4,2,NA,64,20.5,1,100,3,3,65.8,USA,New York,0,NA,1,participants rated the culpability of and their empathy toward the perpetrator (male) and the victim (female) after reading a scenario,6,1,0,"1,6,10",5,NA,NA,NA,NA,"1,6,10"
Mcleod,1990,Paloma,Feminist rape education,The impact of rape educaiton on rape attributions and attitudes: comparison of a feminist intervention and a miscomunication model intervention,4,1,NA,225,19,5,0.48,3,3,75.10%,US,SC,0,2,1,"Over 10 sessions, the participant completed 4 questionnaires, viewed a videotape and 4 weeks later returned to complete the final questionnaires. Both tapes emphasized that acquaintance rape is the most prevalent form of rape. In the video, a facilitator debunked rape myths related to a womens responsability on rape.",4,1,0,NA,7,NA,NA,NA,"1,9","1,9"
Mcleod,1990,Paloma,Miscomunication model,The impact of rape educaiton on rape attributions and attitudes: comparison of a feminist intervention and a miscomunication model intervention,4,1,NA,225,19,5,0.48,3,3,75.10%,US,SC,0,2,1,"Over 10 sessions, the participant completed 4 questionnaires, viewed a videotape and 4 weeks later returned to complete the final questionnaires. Both tapes emphasized that acquaintance rape is the most prevalent form of rape. In the video, a facilitator stated that misunderstanding and miscomunication between men and women led to rape.",4,1,0,NA,7,NA,NA,NA,"1,9","1,9"
McLeod,1990,Manna,miscommunication model rape intervention,The Impacts of Rape Education on Rape Education on Rape Attributions and Attitudes: Comparison of a Feminist Intervention and a Miscommunication Model Intervention,4,1,NA,36,20.06,1,100,3,3,75.1,USA,South Carolina,lab,2,1,"Students read a date rape vignette, complete an attributions questionnaire, view a miscommunications-based video, and then return 4 weeks later to complete questionnaires. Dependent variables include the Rape Myth Scale and Attributions Questionnaire. They used the Solomon four-group design.","1,4",1,1,"1,6,9",1,NA,NA,NA,NA,"1,6,9"
McLeod,1990,Manna,miscommunications model rape intervention,The Impacts of Rape Education on Rape Education on Rape Attributions and Attitudes: Comparison of a Feminist Intervention and a Miscommunication Model Intervention,4,1,NA,39,20.06,2,0,3,3,75.1,USA,South Carolina,lab,2,1,"Students read a date rape vignette, complete an attributions questionnaire, view a feminist-based video, and then return 4 weeks later to complete questionnaires. Dependent variables include the Rape Myth Scale and Attributions Questionnaire. They used the Solomon four-group design.","1,4",1,1,"1,6,9",1,NA,NA,NA,NA,"1,6,9"
McLeod,1990,Manna,feminist model rape intervention,The Impacts of Rape Education on Rape Education on Rape Attributions and Attitudes: Comparison of a Feminist Intervention and a Miscommunication Model Intervention,4,1,NA,36,20.06,1,100,3,3,75.1,USA,South Carolina,lab,2,1,"Students read a date rape vignette, complete an attributions questionnaire, view a feminist-based video, and then return 4 weeks later to complete questionnaires. Dependent variables include the Rape Myth Scale and Attributions Questionnaire. They used the Solomon four-group design.","1,4",1,1,"1,6,9",1,NA,NA,NA,NA,"1,6,9"
McLeod,1990,Manna,feminist model rape intervention,The Impacts of Rape Education on Rape Education on Rape Attributions and Attitudes: Comparison of a Feminist Intervention and a Miscommunication Model Intervention,4,1,NA,39,20.06,2,0,3,3,75.1,USA,South Carolina,lab,2,1,"Students read a date rape vignette, complete an attributions questionnaire, view a feminist-based video, and then return 4 weeks later to complete questionnaires. Dependent variables include the Rape Myth Scale and Attributions Questionnaire. They used the Solomon four-group design.","1,4",1,1,"1,6,9",1,NA,NA,NA,NA,"1,6,9"
Nelson,1990,Matej,A videotape on acquaintance rape,A Comparison of Strategies for Changing College Students' Attitudes Towards Acquaintance Rape,1,1,"""Someone You Know: Acquaintance Rape"" videotape",NA,19,3,31,3,3,NA,USA,NA,0,2,NA,Participants were asked to watch a 30 minutes long videotape on acquaintance rape.,4,1,0,NA,3,2,58,1,NA,2
Nelson,1990,Matej,Brochure on acquaintance rape,A Comparison of Strategies for Changing College Students' Attitudes Towards Acquaintance Rape,1,1,"""What Women and Men Should Know about Date Rape"" brochure
",NA,19,3,29,3,3,NA,USA,NA,0,2,NA,Participants were asked to read a pamphlet on date rape that took approximately 10 minutes to read.,6,1,0,NA,3,2,56,1,NA,2
